Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 23.69      2.31     2.31 90990068     0.00     0.00  get_quadra_disc_equation
 14.67      3.74     1.43  7581600     0.00     0.00  get_disc
 13.54      5.06     1.32 90949096     0.00     0.00  one_solu_disc
 11.38      6.17     1.11 92706612     0.00     0.00  normalize_vector
  8.62      7.01     0.84 169445864     0.00     0.00  norm_of_vector
  8.21      7.81     0.80  7587034     0.00     0.00  get_quadra_cylinder_equation
  4.72      8.27     0.46 90990068     0.00     0.00  solution_disc
  2.87      8.55     0.28 72504680     0.00     0.00  create_vector
  2.15      8.76     0.21                             _init
  2.05      8.96     0.20 100677668     0.00     0.00  init_solution
  1.54      9.11     0.15  1263600     0.00     0.01  get_cylinder
  0.62      9.17     0.06  7587034     0.00     0.00  check_solution
  0.62      9.23     0.06  1263600     0.00     0.00  get_plane
  0.62      9.29     0.06   858272     0.00     0.01  render_window
  0.51      9.34     0.05  7587034     0.00     0.00  solution
  0.31      9.37     0.03  2525504     0.00     0.00  get_rayvec_light
  0.31      9.40     0.03  2124278     0.00     0.00  new_elem
  0.31      9.43     0.03   858272     0.00     0.00  get_vec_horizontal
  0.31      9.46     0.03   842400     0.00     0.00  intersect_self
  0.21      9.48     0.02  2100566     0.00     0.00  solution_plan
  0.21      9.50     0.02  1327093     0.00     0.00  two_solu
  0.21      9.52     0.02   858272     0.00     0.00  get_screen_unit_hor_vect
  0.21      9.54     0.02   858272     0.00     0.00  get_screen_unit_vert_vect
  0.21      9.56     0.02   842400     0.00     0.01  check_light_shadow
  0.21      9.58     0.02   842400     0.00     0.00  check_no_shadow
  0.21      9.60     0.02   421200     0.00     0.02  resolve_equation
  0.21      9.62     0.02                             mlx_loop
  0.10      9.63     0.01  2128317     0.00     0.00  is_closer
  0.10      9.64     0.01  2106000     0.00     0.00  fill_list_intersection
  0.10      9.65     0.01  2106000     0.00     0.00  free_list
  0.10      9.66     0.01  2106000     0.00     0.00  get_rayline_eq
  0.10      9.67     0.01  2100566     0.00     0.00  get_quadra_plan_equation
  0.10      9.68     0.01  2100566     0.00     0.00  one_solu_plan
  0.10      9.69     0.01   858272     0.00     0.00  get_up_left
  0.10      9.70     0.01   842400     0.00     0.00  get_opposite_vector
  0.10      9.71     0.01   840704     0.00     0.00  compute_rgb
  0.10      9.72     0.01   838662     0.00     0.00  in_the_way
  0.10      9.73     0.01   836966     0.00     0.00  get_specific_plane
  0.10      9.74     0.01   421200     0.00     0.00  ambient_light_quo
  0.10      9.75     0.01   421200     0.00     0.00  create_color
  0.00      9.75     0.00  2124278     0.00     0.00  list_add
  0.00      9.75     0.00  1263929     0.00     0.00  fill_disp_point
  0.00      9.75     0.00  1263600     0.00     0.00  get_sphere
  0.00      9.75     0.00   858272     0.00     0.00  get_vec_vertical
  0.00      9.75     0.00   858272     0.00     0.01  loop_rendering
  0.00      9.75     0.00   842400     0.00     0.00  multp
  0.00      9.75     0.00   426837     0.00     0.00  copy_solu_two_in_one
  0.00      9.75     0.00   421200     0.00     0.01  get_pixel_color
  0.00      9.75     0.00   421200     0.00     0.00  get_vector
  0.00      9.75     0.00   421200     0.00     0.00  img_pixel_put
  0.00      9.75     0.00   421200     0.00     0.01  loop_light
  0.00      9.75     0.00    10213     0.00     0.00  one_solu
  0.00      9.75     0.00     5434     0.00     0.00  get_specific_cylinder
  0.00      9.75     0.00     5434     0.00     0.00  get_specific_disc
  0.00      9.75     0.00     1878     0.00     0.00  ft_is_space
  0.00      9.75     0.00      540     0.00    17.30  loop_line
  0.00      9.75     0.00      166     0.00     0.00  copy_sol_two_in_one
  0.00      9.75     0.00      113     0.00     0.00  convert_to_float
  0.00      9.75     0.00      113     0.00     0.00  remove_dot
  0.00      9.75     0.00      110     0.00     0.00  ft_strndup
  0.00      9.75     0.00      110     0.00     0.00  match_obj
  0.00      9.75     0.00       53     0.00     0.00  brows_line
  0.00      9.75     0.00       53     0.00     0.00  check_int_max
  0.00      9.75     0.00       40     0.00     0.00  free_double_arr
  0.00      9.75     0.00       30     0.00     0.00  brows_line
  0.00      9.75     0.00       24     0.00     0.00  convert_to_float_bis
  0.00      9.75     0.00       24     0.00     0.00  remove_dot
  0.00      9.75     0.00       22     0.00     0.00  ft_count_word
  0.00      9.75     0.00       22     0.00     0.00  ft_less_line
  0.00      9.75     0.00       22     0.00     0.00  split_func_condition
  0.00      9.75     0.00       12     0.00     0.00  check_float_construction
  0.00      9.75     0.00       12     0.00     0.00  convert_to_float_check_value
  0.00      9.75     0.00       12     0.00     0.00  loop_on_number
  0.00      9.75     0.00       11     0.00     0.00  brows_arr_function
  0.00      9.75     0.00       11     0.00     0.00  check_line
  0.00      9.75     0.00       11     0.00     0.00  free_split_return_false
  0.00      9.75     0.00       10     0.00     0.00  check_coordinate
  0.00      9.75     0.00       10     0.00     0.00  check_rgb
  0.00      9.75     0.00       10     0.00     0.00  convert_to_rgb
  0.00      9.75     0.00       10     0.00     0.00  convert_to_xyz
  0.00      9.75     0.00       10     0.00     0.00  loop_check_coord
  0.00      9.75     0.00       10     0.00     0.00  loop_check_rgb
  0.00      9.75     0.00        8     0.00     0.00  check_coordinate_direction
  0.00      9.75     0.00        8     0.00     0.00  convert_to_orientation
  0.00      9.75     0.00        8     0.00     0.00  convert_to_vect_float
  0.00      9.75     0.00        8     0.00     0.00  loop_check_coord_dir
  0.00      9.75     0.00        6     0.00     0.00  attribute_function_letter
  0.00      9.75     0.00        6     0.00     0.00  check_cylinder
  0.00      9.75     0.00        6     0.00     0.00  conditional_sequence
  0.00      9.75     0.00        6     0.00     0.00  fill_cylinder
  0.00      9.75     0.00        4     0.00     0.00  count_obj
  0.00      9.75     0.00        2     0.00     0.00  check_first_char
  0.00      9.75     0.00        2     0.00     0.00  check_light
  0.00      9.75     0.00        2     0.00     0.00  fill_light
  0.00      9.75     0.00        1     0.00     0.00  build_ambient_light
  0.00      9.75     0.00        1     0.00     0.00  build_camera
  0.00      9.75     0.00        1     0.00     0.00  build_cylinder
  0.00      9.75     0.00        1     0.00     0.00  build_light
  0.00      9.75     0.00        1     0.00     0.00  build_plane
  0.00      9.75     0.00        1     0.00     0.00  build_sphere
  0.00      9.75     0.00        1     0.00     0.00  check_all_elem
  0.00      9.75     0.00        1     0.00     0.00  check_ambient
  0.00      9.75     0.00        1     0.00     0.00  check_camera
  0.00      9.75     0.00        1     0.00     0.00  check_extension
  0.00      9.75     0.00        1     0.00     0.00  check_fov
  0.00      9.75     0.00        1     0.00     0.00  check_plane
  0.00      9.75     0.00        1     0.00     0.00  close_window
  0.00      9.75     0.00        1     0.00     0.00  create_triple_arr
