Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 31.01      0.89     0.89  7587034     0.00     0.00  get_quadra_cylinder_equation
 17.42      1.39     0.50 15174068     0.00     0.00  get_quadra_disc_equation
  6.62      1.58     0.19  7581600     0.00     0.00  get_disc
  6.27      1.76     0.18 15165386     0.00     0.00  one_solu_disc
  5.23      1.91     0.15 33110349     0.00     0.00  norm_of_vector
  4.88      2.05     0.14 15909222     0.00     0.00  normalize_vector
  4.53      2.18     0.13 15174068     0.00     0.00  solution_disc
  2.09      2.24     0.06  1263600     0.00     0.00  get_cylinder
  2.09      2.30     0.06                             _init
  1.74      2.35     0.05  7587034     0.00     0.00  check_solution
  1.74      2.40     0.05  7587034     0.00     0.00  solution
  1.39      2.44     0.04 13947945     0.00     0.00  create_vector
  1.39      2.48     0.04  2525504     0.00     0.00  get_rayvec_light
  1.39      2.52     0.04  2100566     0.00     0.00  one_solu_plan
  1.39      2.56     0.04   842400     0.00     0.00  intersect_self
  1.05      2.59     0.03  2111857     0.00     0.00  is_closer
  1.05      2.62     0.03  1263600     0.00     0.00  get_plane
  0.70      2.64     0.02 24861668     0.00     0.00  init_solution
  0.70      2.66     0.02  2107818     0.00     0.00  list_add
  0.70      2.68     0.02  2107818     0.00     0.00  new_elem
  0.70      2.70     0.02   840704     0.00     0.00  compute_rgb
  0.70      2.72     0.02   836966     0.00     0.00  get_specific_plane
  0.70      2.74     0.02   421200     0.00     0.00  loop_light
  0.70      2.76     0.02   367577     0.00     0.01  render_window
  0.35      2.77     0.01  2106000     0.00     0.00  fill_list_intersection
  0.35      2.78     0.01  2106000     0.00     0.00  free_list
  0.35      2.79     0.01  2100566     0.00     0.00  get_quadra_plan_equation
  0.35      2.80     0.01  1327093     0.00     0.00  two_solu
  0.35      2.81     0.01  1263600     0.00     0.00  get_sphere
  0.35      2.82     0.01   842400     0.00     0.00  check_light_shadow
  0.35      2.83     0.01   421200     0.00     0.00  ambient_light_quo
  0.35      2.84     0.01   421200     0.00     0.00  create_color
  0.35      2.85     0.01   421200     0.00     0.00  img_pixel_put
  0.35      2.86     0.01   367577     0.00     0.00  get_screen_unit_vert_vect
  0.35      2.87     0.01   367577     0.00     0.00  get_up_left
  0.00      2.87     0.00  2106000     0.00     0.00  get_rayline_eq
  0.00      2.87     0.00  2100566     0.00     0.00  solution_plan
  0.00      2.87     0.00  1264276     0.00     0.00  fill_disp_point
  0.00      2.87     0.00   842400     0.00     0.00  check_no_shadow
  0.00      2.87     0.00   842400     0.00     0.00  get_opposite_vector
  0.00      2.87     0.00   842400     0.00     0.00  multp
  0.00      2.87     0.00   838662     0.00     0.00  in_the_way
  0.00      2.87     0.00   426837     0.00     0.00  copy_solu_two_in_one
  0.00      2.87     0.00   421200     0.00     0.00  get_pixel_color
  0.00      2.87     0.00   421200     0.00     0.00  get_vector
  0.00      2.87     0.00   421200     0.00     0.01  resolve_equation
  0.00      2.87     0.00   367577     0.00     0.00  get_screen_unit_hor_vect
  0.00      2.87     0.00   367577     0.00     0.00  get_vec_horizontal
  0.00      2.87     0.00   367577     0.00     0.00  get_vec_vertical
  0.00      2.87     0.00   367577     0.00     0.01  loop_rendering
  0.00      2.87     0.00    10213     0.00     0.00  one_solu
  0.00      2.87     0.00     5434     0.00     0.00  get_specific_cylinder
  0.00      2.87     0.00     5434     0.00     0.00  get_specific_disc
  0.00      2.87     0.00     1878     0.00     0.00  ft_is_space
  0.00      2.87     0.00      540     0.00     5.11  loop_line
  0.00      2.87     0.00      166     0.00     0.00  copy_sol_two_in_one
  0.00      2.87     0.00      113     0.00     0.00  convert_to_float
  0.00      2.87     0.00      113     0.00     0.00  remove_dot
  0.00      2.87     0.00      110     0.00     0.00  ft_strndup
  0.00      2.87     0.00      110     0.00     0.00  match_obj
  0.00      2.87     0.00       53     0.00     0.00  brows_line
  0.00      2.87     0.00       53     0.00     0.00  check_int_max
  0.00      2.87     0.00       40     0.00     0.00  free_double_arr
  0.00      2.87     0.00       30     0.00     0.00  brows_line
  0.00      2.87     0.00       24     0.00     0.00  convert_to_float_bis
  0.00      2.87     0.00       24     0.00     0.00  remove_dot
  0.00      2.87     0.00       22     0.00     0.00  ft_count_word
  0.00      2.87     0.00       22     0.00     0.00  ft_less_line
  0.00      2.87     0.00       22     0.00     0.00  split_func_condition
  0.00      2.87     0.00       12     0.00     0.00  check_float_construction
  0.00      2.87     0.00       12     0.00     0.00  convert_to_float_check_value
  0.00      2.87     0.00       12     0.00     0.00  loop_on_number
  0.00      2.87     0.00       11     0.00     0.00  brows_arr_function
  0.00      2.87     0.00       11     0.00     0.00  check_line
  0.00      2.87     0.00       11     0.00     0.00  free_split_return_false
  0.00      2.87     0.00       10     0.00     0.00  check_coordinate
  0.00      2.87     0.00       10     0.00     0.00  check_rgb
  0.00      2.87     0.00       10     0.00     0.00  convert_to_rgb
  0.00      2.87     0.00       10     0.00     0.00  convert_to_xyz
  0.00      2.87     0.00       10     0.00     0.00  loop_check_coord
  0.00      2.87     0.00       10     0.00     0.00  loop_check_rgb
  0.00      2.87     0.00        8     0.00     0.00  check_coordinate_direction
  0.00      2.87     0.00        8     0.00     0.00  convert_to_orientation
  0.00      2.87     0.00        8     0.00     0.00  convert_to_vect_float
  0.00      2.87     0.00        8     0.00     0.00  loop_check_coord_dir
  0.00      2.87     0.00        6     0.00     0.00  attribute_function_letter
  0.00      2.87     0.00        6     0.00     0.00  check_cylinder
  0.00      2.87     0.00        6     0.00     0.00  conditional_sequence
  0.00      2.87     0.00        6     0.00     0.00  fill_cylinder
  0.00      2.87     0.00        4     0.00     0.00  count_obj
  0.00      2.87     0.00        2     0.00     0.00  check_first_char
  0.00      2.87     0.00        2     0.00     0.00  check_light
  0.00      2.87     0.00        2     0.00     0.00  fill_light
  0.00      2.87     0.00        1     0.00     0.00  build_ambient_light
  0.00      2.87     0.00        1     0.00     0.00  build_camera
  0.00      2.87     0.00        1     0.00     0.00  build_cylinder
  0.00      2.87     0.00        1     0.00     0.00  build_light
  0.00      2.87     0.00        1     0.00     0.00  build_plane
  0.00      2.87     0.00        1     0.00     0.00  build_sphere
  0.00      2.87     0.00        1     0.00     0.00  check_all_elem
  0.00      2.87     0.00        1     0.00     0.00  check_ambient
  0.00      2.87     0.00        1     0.00     0.00  check_camera
  0.00      2.87     0.00        1     0.00     0.00  check_extension
  0.00      2.87     0.00        1     0.00     0.00  check_fov
  0.00      2.87     0.00        1     0.00     0.00  check_plane
  0.00      2.87     0.00        1     0.00     0.00  close_window
  0.00      2.87     0.00        1     0.00     0.00  create_triple_arr
  0.00      2.87     0.00        1     0.00     0.00  fill_ambient_light
  0.00      2.87     0.00        1     0.00     0.00  fill_camera
  0.00      2.87     0.00        1     0.00     0.00  fill_each_struct
  0.00      2.87     0.00        1     0.00     0.00  fill_lines
  0.00      2.87     0.00        1     0.00     0.00  fill_plane
  0.00      2.87     0.00        1     0.00     0.00  fill_structs
  0.00      2.87     0.00        1     0.00     0.00  free_array_function
  0.00      2.87     0.00        1     0.00     0.00  free_objs
  0.00      2.87     0.00        1     0.00     0.00  free_triple_arr
  0.00      2.87     0.00        1     0.00     0.00  get_line_nb_checking_line
  0.00      2.87     0.00        1     0.00     0.00  hook_press
  0.00      2.87     0.00        1     0.00     0.00  init_all_elem
  0.00      2.87     0.00        1     0.00     0.00  init_build_light
  0.00      2.87     0.00        1     0.00     0.00  line_nb
  0.00      2.87     0.00        1     0.00     0.00  loop_attribute_func
  0.00      2.87     0.00        1     0.00     0.00  open_and_store
  0.00      2.87     0.00        1     0.00     0.00  parsing
  0.00      2.87     0.00        1     0.00     0.00  setup_array_function
  0.00      2.87     0.00        1     0.00     0.00  window

 %         the percentage of the total running time of the
time       program used by this function.

