Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 15.66      0.31     0.31  7587034     0.00     0.00  get_disc
  9.09      0.49     0.18  7587034     0.00     0.00  get_quadra_c
  9.09      0.67     0.18  1263600     0.00     0.00  get_cylinder
  7.07      0.81     0.14 15165074     0.00     0.00  one_solu_disc
  5.56      0.92     0.11 15174068     0.00     0.00  get_quadra_disc_equation
  5.56      1.03     0.11  7587034     0.00     0.00  get_quadra_b
  5.05      1.13     0.10 15174068     0.00     0.00  solution_disc
  4.04      1.21     0.08  7587034     0.00     0.00  get_quadra_cylinder_equation
  3.54      1.28     0.07 15624762     0.00     0.00  norm_of_vector
  3.03      1.34     0.06  7587034     0.00     0.00  fill_cy_eq_ray
  3.03      1.40     0.06  1263600     0.00     0.00  get_plane
  3.03      1.46     0.06   842400     0.00     0.00  intersect_self
  2.53      1.51     0.05  7587034     0.00     0.00  get_quadra_a
  2.02      1.55     0.04 13106705     0.00     0.00  create_vector
  2.02      1.59     0.04  7587034     0.00     0.00  check_solution
  2.02      1.63     0.04   421200     0.00     0.00  resolve_equation
  1.52      1.66     0.03 24861668     0.00     0.00  init_solution
  1.52      1.69     0.03  7587034     0.00     0.00  solution
  1.52      1.72     0.03  2109944     0.00     0.00  is_closer
  1.52      1.75     0.03  2105905     0.00     0.00  new_elem
  1.52      1.78     0.03  1327843     0.00     0.00  two_solu
  1.01      1.80     0.02  2100566     0.00     0.00  get_quadra_plan_equation
  1.01      1.82     0.02   842400     0.00     0.00  check_light_shadow
  1.01      1.84     0.02   842400     0.00     0.00  check_no_shadow
  1.01      1.86     0.02   836966     0.00     0.00  get_specific_plane
  1.01      1.88     0.02   421200     0.00     0.00  img_pixel_put
  1.01      1.90     0.02                             _init
  0.51      1.91     0.01  2525485     0.00     0.00  get_rayvec_light
  0.51      1.92     0.01  2106000     0.00     0.00  fill_list_intersection
  0.51      1.93     0.01  2106000     0.00     0.00  get_rayline_eq
  0.51      1.94     0.01  2100566     0.00     0.00  solution_plan
  0.51      1.95     0.01  1263600     0.00     0.00  get_sphere
  0.51      1.96     0.01   842400     0.00     0.00  multp
  0.51      1.97     0.01   840685     0.00     0.00  compute_rgb
  0.51      1.98     0.01   838681     0.00     0.00  in_the_way
  0.00      1.98     0.00  2106000     0.00     0.00  free_list
  0.00      1.98     0.00  2105905     0.00     0.00  list_add
  0.00      1.98     0.00  2100566     0.00     0.00  one_solu_plan
  0.00      1.98     0.00  1263122     0.00     0.00  fill_disp_point
  0.00      1.98     0.00   842400     0.00     0.00  get_opposite_vector
  0.00      1.98     0.00   426047     0.00     0.00  copy_solu_two_in_one
  0.00      1.98     0.00   421200     0.00     0.00  ambient_light_quo
  0.00      1.98     0.00   421200     0.00     0.00  create_color
  0.00      1.98     0.00   421200     0.00     0.00  get_pixel_color
  0.00      1.98     0.00   421200     0.00     0.00  get_vector
  0.00      1.98     0.00   421200     0.00     0.00  loop_light
  0.00      1.98     0.00    12379     0.00     0.00  render_window
  0.00      1.98     0.00    10243     0.00     0.00  one_solu
  0.00      1.98     0.00     5434     0.00     0.00  get_specific_cylinder
  0.00      1.98     0.00     1878     0.00     0.00  ft_is_space
  0.00      1.98     0.00      540     0.00     0.00  loop_line
  0.00      1.98     0.00      166     0.00     0.00  copy_sol_two_in_one
  0.00      1.98     0.00      113     0.00     0.00  convert_to_float
  0.00      1.98     0.00      113     0.00     0.00  remove_dot
  0.00      1.98     0.00      110     0.00     0.00  ft_strndup
  0.00      1.98     0.00      110     0.00     0.00  match_obj
  0.00      1.98     0.00       53     0.00     0.00  brows_line
  0.00      1.98     0.00       53     0.00     0.00  check_int_max
  0.00      1.98     0.00       40     0.00     0.00  free_double_arr
  0.00      1.98     0.00       30     0.00     0.00  brows_line
  0.00      1.98     0.00       24     0.00     0.00  convert_to_float_bis
  0.00      1.98     0.00       24     0.00     0.00  remove_dot
  0.00      1.98     0.00       22     0.00     0.00  ft_count_word
  0.00      1.98     0.00       22     0.00     0.00  ft_less_line
  0.00      1.98     0.00       22     0.00     0.00  split_func_condition
  0.00      1.98     0.00       12     0.00     0.00  check_float_construction
  0.00      1.98     0.00       12     0.00     0.00  convert_to_float_check_value
  0.00      1.98     0.00       12     0.00     0.00  loop_on_number
  0.00      1.98     0.00       11     0.00     0.00  brows_arr_function
  0.00      1.98     0.00       11     0.00     0.00  check_line
  0.00      1.98     0.00       11     0.00     0.00  free_split_return_false
